FID,FID_buffer,ROBIN_ID,LOCAL_ID,NAME,LATITUDE,LONGITUDE,AREA,AREA_SOURC,DATA_OWNER,COUNTRY,FREE_TEXT,DATA_PERMI,QUALITY,HYDROBELT,KOPPEN,BUFF_DIST,ORIG_FID,FID_CAMELS,gauge_id,gauge_name
131,302,DE00071,93,Rodach at StreitmŸhle,50.352307959999997,11.510097360000000,56.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,302,377,DE213940,Streitmühle
132,56,DE00186,299,Steinach at Steinach,50.431954439999998,11.156164110000001,37.200000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,56,1573,DEG10530,Steinach
133,68,DE00198,313,Eichelbach at Eichelsachsen,50.458719830000000,9.125182030000000,23.600000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,68,593,DE710250,Eichelsachsen
134,57,DE00187,301,Nahe at Hinternah,50.517308810000003,10.792353049999999,35.299999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,57,1554,DEG10300,Hinternah
135,69,DE00199,315,Wetter at Münster,50.544773630000002,8.910859072999999,86.200000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,69,634,DE710670,Münster
136,49,DE00179,289,Schwarza at Katzhütte,50.558990340000001,11.059079290000000,122.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,49,1557,DEG10330,Katzhütte
137,48,DE00178,288,Wisenta at Möschlitz,50.566255040000001,11.752016619999999,158.300000000000011,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,48,1563,DEG10400,Möschlitz
138,82,DE00212,332,Lüder at Lütterz,50.589020480000002,9.590537440000000,181.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,82,628,DE710610,Lütterz
139,223,DE00119,182,Erft at Arloff,50.595830399999997,6.790523430000000,114.390000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,223,1004,DEA10340,Arloff
140,58,DE00188,302,Lauter at Suhl,50.606358210000003,10.680136180000000,40.899999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,58,1575,DEG10550,Suhl
141,113,DE00323,484,Zschopau at Tannenberg,50.609728580000002,12.956546760000000,91.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,113,1307,DED12510,Tannenberg
142,120,DE00330,492,Göltzsch at Mylau,50.611319760000001,12.273096100000000,153.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,120,1279,DED11460,Mylau
143,83,DE00213,333,Altefeldbach at Bad_Salzschlirf,50.624230120000000,9.505387059000000,135.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,83,576,DE710070,Bad Salzschlirf
144,79,DE00209,329,Ulster at Günthers,50.655340000000002,10.002804319999999,182.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,79,605,DE710370,Günthers
145,240,DE00136,203,Swistbach at Morenhoven,50.663861890000000,6.951379502000000,109.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,240,1006,DEA10360,Morenhoven
146,76,DE00206,325,Aar at Herbornseelbach,50.697360709999998,8.347979716999999,135.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,76,614,DE710460,Herbornseelbach
147,50,DE00180,290,Ilm at Gräfinau-Angstedt,50.698725189999998,11.016939819999999,154.800000000000011,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,50,1550,DEG10250,Gräfinau-Angstedt
148,59,DE00189,303,Schmalkalde at Mittelschmalkalden,50.717359729999998,10.397140930000001,153.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,59,1562,DEG10390,Mittelschmalkalden
149,73,DE00203,322,Salzböde at Etzelmühle,50.719312199999997,8.646221836000000,81.200000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,73,596,DE710280,Etzelmühle
150,75,DE00205,324,Dill at Haiger,50.751634610000004,8.211007960000000,63.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,75,606,DE710380,Haiger
151,228,DE00124,188,Rotbach at Friesheim,50.755136700000001,6.770722974000000,191.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,228,1009,DEA10390,Friesheim
152,84,DE00214,334,Schwalm at Alsfeld,50.759028569999998,9.286063499999999,131.409999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,84,570,DE710010,Alsfeld
153,112,DE00322,483,Chemnitzbach at Wolfsgrund,50.776503929999997,13.423744270000000,35.840000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,112,1312,DED12680,Wolfsgrund
154,241,DE00137,204,Wisserbach at Morsbach,50.861860759999999,7.741416848000000,43.119999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,241,984,DEA10100,Morsbach
155,53,DE00183,294,Wipfra at Eischleben,50.887124020000002,10.984809309999999,163.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,53,1537,DEG10090,Eischleben
156,71,DE00201,319,Wetschaft at Niederwetter,50.891025999999997,8.744998524000000,173.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,71,641,DE710740,Niederwetter
